qry,sc_relevance_score
Abby Finkenauer,6
Adam Kinzinger,6
Adam Schiff,5
Adrian Smith,6
Al Lawson,6
Alan Lowenthal,6
Alcee Hastings,6
Alex Mooney,6
AndrÃ© Carson,6
Andy Levin,6
Angie Craig,6
Ann Kirkpatrick,6
Antonio Delgado,6
Ayanna Pressley,6
Ben McAdams,5
Ben Ray LujÃ¡n,3
Bill Flores,6
Bill Posey,4
Bob Latta,6
Brett Guthrie,6
Carol Miller,2
Chellie Pingree,5
Chris Pappas,6
Chris Stewart,5
Cindy Axne,6
Danny K. Davis,6
David Trone,6
Dean Phillips,4
Don Bacon,5
Don Young,5
Doug Collins,6
Dutch Ruppersberger,6
Ed Case,6
Eddie Bernice Johnson,6
Emanuel Cleaver,5
Frank Lucas,3
Frederica Wilson,6
French Hill,4
Gary Palmer,5
Gus Bilirakis,5
Hakeem Jeffries,6
Hal Rogers,4
Hank Johnson,6
Harley Rouda,6
Henry Cuellar,6
Jaime Herrera Beutler,5
James Langevin,5
Jan Schakowsky,6
Jeff Duncan,4
Jerry McNerney,6
Jim Himes,6
Jim Jordan,6
Jodey Arrington,6
Joe Kennedy III,6
John B. Larson,5
John Curtis,2
John Rutherford,6
Joyce Beatty,6
Karen Bass,6
Larry Bucshon,6
Liz Cheney,6
Lloyd Smucker,6
Lois Frankel,6
Lou Correa,6
Mac Thornberry,6
Marcy Kaptur,6
Mark Walker,5
Matt Cartwright,6
Mike Rogers,6
Morgan Griffith,6
Nancy Pelosi,6
Nydia VelÃ¡zquez,6
Patrick McHenry,6
Pete Aguilar,6
Peter DeFazio,6
Phil Roe,4
Pramila Jayapal,6
Raul Ruiz,6
Richard Neal,5
Rick W. Allen,5
Ro Khanna,6
Rodney Davis,5
Ron Estes,6
Rosa DeLauro,6
Russ Fulcher,6
Salud Carbajal,6
Sanford Bishop,4
Steve Cohen,12
Steve Womack,5
Steven Palazzo,6
TJ Cox,6
Ted Lieu,6
Tim Ryan,6
Tim Walberg,6
Tom Graves,6
Tom Reed,6
Trey Hollingsworth,6
Troy Balderson,6
Vicente Gonzalez,6
Xochitl Torres Small,6
