crawl_id,qry,home_dist,random_dist,result_length,rbo_similarity
20200930,Don Young,AK-AT LARGE,PA-18,7,1
20200921,Don Young,AK-AT LARGE,IL-3,9,1
20201006,Don Young,AK-AT LARGE,CA-12,10,1
20200913,Don Young,AK-AT LARGE,CA-35,11,1
20201227,Don Young,AK-AT LARGE,AZ-8,0,1
20201126,Don Young,AK-AT LARGE,CA-48,9,1
20201005,Don Young,AK-AT LARGE,MA-7,12,1
20201023,Don Young,AK-AT LARGE,GA-6,12,1
20201221,Don Young,AK-AT LARGE,MI-12,10,1
20201111,Don Young,AK-AT LARGE,CA-8,9,1
20201123,Dusty Johnson,SD-AT LARGE,TN-7,8,1
20201218,Dusty Johnson,SD-AT LARGE,GA-10,11,1
20201212,Dusty Johnson,SD-AT LARGE,NY-1,11,1
20201020,Dusty Johnson,SD-AT LARGE,MI-7,10,1
20201023,Dusty Johnson,SD-AT LARGE,NC-4,12,1
20201002,Dusty Johnson,SD-AT LARGE,MS-4,12,1
20201015,Dusty Johnson,SD-AT LARGE,WA-6,13,1
20200907,Dusty Johnson,SD-AT LARGE,MI-9,8,1
20201104,Dusty Johnson,SD-AT LARGE,OH-12,13,1
20201010,Dusty Johnson,SD-AT LARGE,TX-21,9,1
20201107,Eleanor Holmes Norton,DC-AT LARGE,FL-24,10,1
20201218,Eleanor Holmes Norton,DC-AT LARGE,TX-27,9,1
20200904,Eleanor Holmes Norton,DC-AT LARGE,NY-6,9,1
20201214,Eleanor Holmes Norton,DC-AT LARGE,OH-7,9,1
20201009,Eleanor Holmes Norton,DC-AT LARGE,CA-21,10,1
20201216,Eleanor Holmes Norton,DC-AT LARGE,NY-24,9,1
20201125,Eleanor Holmes Norton,DC-AT LARGE,CT-4,9,1
20201003,Eleanor Holmes Norton,DC-AT LARGE,TN-7,10,1
20201114,Eleanor Holmes Norton,DC-AT LARGE,AZ-7,10,1
20201030,Eleanor Holmes Norton,DC-AT LARGE,OH-3,11,1
20200903,Greg Gianforte,MT-AT LARGE,OK-1,13,1
20201125,Greg Gianforte,MT-AT LARGE,GA-9,13,1
20201106,Greg Gianforte,MT-AT LARGE,MA-3,12,1
20200911,Greg Gianforte,MT-AT LARGE,AR-2,12,1
20201006,Greg Gianforte,MT-AT LARGE,GA-5,15,1
20201113,Greg Gianforte,MT-AT LARGE,PA-8,13,1
20201003,Greg Gianforte,MT-AT LARGE,OK-2,16,1
20201012,Greg Gianforte,MT-AT LARGE,OR-5,14,1
20200901,Greg Gianforte,MT-AT LARGE,NJ-2,11,1
20201209,Greg Gianforte,MT-AT LARGE,TN-4,12,1
20201118,Kelly Armstrong,ND-AT LARGE,MN-4,10,1
20201205,Kelly Armstrong,ND-AT LARGE,IA-4,10,1
20201102,Kelly Armstrong,ND-AT LARGE,IN-1,9,1
20201215,Kelly Armstrong,ND-AT LARGE,TN-6,9,1
20201207,Kelly Armstrong,ND-AT LARGE,TX-26,9,1
20201023,Kelly Armstrong,ND-AT LARGE,CA-32,10,1
20200911,Kelly Armstrong,ND-AT LARGE,GA-4,10,1
20201224,Kelly Armstrong,ND-AT LARGE,MO-5,10,1
20201014,Kelly Armstrong,ND-AT LARGE,WV-3,9,1
20201105,Kelly Armstrong,ND-AT LARGE,FL-9,11,1
20201009,Lisa Blunt Rochester,DE-AT LARGE,MN-6,9,1
20201231,Lisa Blunt Rochester,DE-AT LARGE,TN-5,9,1
20201004,Lisa Blunt Rochester,DE-AT LARGE,KS-1,12,1
20201215,Lisa Blunt Rochester,DE-AT LARGE,TX-14,9,1
20201210,Lisa Blunt Rochester,DE-AT LARGE,NC-8,12,1
20201023,Lisa Blunt Rochester,DE-AT LARGE,NC-6,9,1
20201003,Lisa Blunt Rochester,DE-AT LARGE,OR-5,14,1
20201204,Lisa Blunt Rochester,DE-AT LARGE,AZ-4,10,1
20200921,Lisa Blunt Rochester,DE-AT LARGE,MO-4,9,1
20201111,Lisa Blunt Rochester,DE-AT LARGE,PA-2,9,1
20201010,Liz Cheney,WY-AT LARGE,AL-1,11,1
20201102,Liz Cheney,WY-AT LARGE,NY-22,12,1
20201029,Liz Cheney,WY-AT LARGE,CA-13,9,1
20201115,Liz Cheney,WY-AT LARGE,MI-11,9,1
20201123,Liz Cheney,WY-AT LARGE,MA-6,12,1
20201214,Liz Cheney,WY-AT LARGE,LA-6,11,1
20201202,Liz Cheney,WY-AT LARGE,WA-7,9,1
20201009,Liz Cheney,WY-AT LARGE,MI-1,9,1
20201012,Liz Cheney,WY-AT LARGE,KS-3,9,1
20201110,Liz Cheney,WY-AT LARGE,NY-17,10,1
20201111,Peter Welch,VT-AT LARGE,CA-25,9,1
20201008,Peter Welch,VT-AT LARGE,FL-27,10,1
20201221,Peter Welch,VT-AT LARGE,IL-17,9,1
20201024,Peter Welch,VT-AT LARGE,FL-17,10,1
20201113,Peter Welch,VT-AT LARGE,CA-31,13,1
20201017,Peter Welch,VT-AT LARGE,AZ-4,9,1
20201114,Peter Welch,VT-AT LARGE,ID-2,11,1
20201230,Peter Welch,VT-AT LARGE,MI-14,7,1
20201203,Peter Welch,VT-AT LARGE,IL-15,9,1
20201027,Peter Welch,VT-AT LARGE,CA-15,10,1
