crawl_id,qry1,qry2,loc_id,q1_length,q2_length,j_similarity
20201001,Randy Weber,Pete Olson,NY-2,6,12,0.1538461538461538
20201214,Tony Cárdenas,Grace Napolitano,TX-6,12,10,0.4
20201130,Matt Cartwright,Conor Lamb,UT-1,13,12,0.3529411764705882
20201217,Julia Brownley,Maxine Waters,CA-29,12,13,0.375
20201207,Randy Weber,Pete Olson,CA-36,10,10,0.3571428571428571
20201227,Julia Brownley,Maxine Waters,NY-26,12,14,0.3529411764705882
20200910,Tony Cárdenas,Grace Napolitano,IL-4,13,12,0.375
20200910,Josh Harder,Scott Peters,OK-4,7,12,0.3333333333333333
20200913,Matt Cartwright,Conor Lamb,MS-3,13,14,0.3529411764705882
20200929,Randy Weber,Pete Olson,CT-3,6,12,0.25
20200930,Josh Harder,Scott Peters,AL-3,15,12,0.3333333333333333
20201209,Matt Cartwright,Conor Lamb,CT-3,11,12,0.3125
20201201,Randy Weber,Pete Olson,IA-4,12,12,0.3571428571428571
20200915,Tony Cárdenas,Grace Napolitano,MI-2,12,12,0.4
20201114,Julia Brownley,Maxine Waters,CT-5,12,16,0.3
20200905,Josh Harder,Scott Peters,MD-5,13,12,0.375
20200921,Tony Cárdenas,Grace Napolitano,NM-2,13,9,0.4615384615384615
20201004,Randy Weber,Pete Olson,TX-17,13,12,0.4285714285714285
20200930,Randy Weber,Pete Olson,NC-3,13,12,0.3333333333333333
20201002,Randy Weber,Pete Olson,CA-22,12,12,0.3571428571428571
20201026,Randy Weber,Pete Olson,VA-1,12,13,0.4285714285714285
20201020,Julia Brownley,Maxine Waters,PA-6,13,15,0.35
20201203,Tony Cárdenas,Grace Napolitano,NY-18,13,12,0.3529411764705882
20201129,Josh Harder,Scott Peters,MS-3,13,12,0.375
20201002,Josh Harder,Scott Peters,CA-8,16,10,0.4666666666666667
20200911,Randy Weber,Pete Olson,CT-3,11,12,0.3846153846153846
20201010,Matt Cartwright,Conor Lamb,VA-9,12,16,0.3888888888888889
20201028,Matt Cartwright,Conor Lamb,IA-2,12,14,0.3529411764705882
20201010,Randy Weber,Pete Olson,VA-7,13,12,0.3571428571428571
20201107,Tony Cárdenas,Grace Napolitano,OH-3,12,9,0.5833333333333334
20201106,Matt Cartwright,Conor Lamb,MO-5,14,16,0.2222222222222222
20201106,Josh Harder,Scott Peters,TX-5,15,16,0.3809523809523809
20201202,Tony Cárdenas,Grace Napolitano,WA-8,14,12,0.3529411764705882
20201205,Julia Brownley,Maxine Waters,TX-31,12,15,0.2631578947368421
20200912,Julia Brownley,Maxine Waters,MS-2,12,13,0.375
20201206,Julia Brownley,Maxine Waters,MD-6,12,17,0.35
20201223,Josh Harder,Scott Peters,OH-10,15,11,0.3157894736842105
20200911,Josh Harder,Scott Peters,FL-9,13,12,0.375
20201027,Josh Harder,Scott Peters,CO-4,13,12,0.4375
20200913,Tony Cárdenas,Grace Napolitano,NY-14,12,12,0.4285714285714285
20200921,Matt Cartwright,Conor Lamb,VA-6,12,12,0.3333333333333333
20201017,Matt Cartwright,Conor Lamb,WI-6,13,16,0.3333333333333333
20201008,Tony Cárdenas,Grace Napolitano,NJ-7,13,13,0.375
20201203,Matt Cartwright,Conor Lamb,HI-1,12,12,0.2777777777777778
20200904,Josh Harder,Scott Peters,NY-5,13,12,0.4
20201103,Julia Brownley,Maxine Waters,VA-7,13,14,0.3333333333333333
20201004,Julia Brownley,Maxine Waters,OH-5,12,14,0.2777777777777778
20201018,Julia Brownley,Maxine Waters,TX-35,12,15,0.3157894736842105
